year,race,sex,age,pop
1993,amind,Female,40-44,76095
1993,amind,Female,45-49,58537
1993,amind,Female,5-9,112540
1993,amind,Female,50-54,45213
1993,amind,Female,55-59,35384
1993,amind,Female,60-64,29073
1993,amind,Female,65-69,23891
1993,amind,Female,70-74,18040
1993,amind,Female,75-79,12642
1993,amind,Female,80-84,7792
1993,amind,Female,85+,6308
1993,amind,Male,0,21051
1993,amind,Male,1-4,93732
1993,amind,Male,10-14,111573
1993,amind,Male,15-19,98252
1993,amind,Male,20-24,101091
1993,amind,Male,25-29,94864
1993,amind,Male,30-34,94252
1993,amind,Male,35-39,84749
1993,amind,Male,40-44,71585
1993,amind,Male,45-49,55433
1993,amind,Male,5-9,116422
1993,amind,Male,50-54,41907
1993,amind,Male,55-59,32570
1993,amind,Male,60-64,25832
1993,amind,Male,65-69,20065
1993,amind,Male,70-74,13579
1993,amind,Male,75-79,8410
1993,amind,Male,80-84,4369
1993,amind,Male,85+,3173
1993,asian,Female,0,76321
1993,asian,Female,1-4,275144
1993,asian,Female,10-14,322007
1993,asian,Female,15-19,309579
1993,asian,Female,20-24,380336
1993,asian,Female,25-29,411695
1993,asian,Female,30-34,425085
1993,asian,Female,35-39,400852
1993,asian,Female,40-44,356135
1993,asian,Female,45-49,256987
1993,asian,Female,5-9,315209
1993,asian,Female,50-54,190135
1993,asian,Female,55-59,155139
1993,asian,Female,60-64,141067
1993,asian,Female,65-69,117065
1993,asian,Female,70-74,81937
1993,asian,Female,75-79,51826
1993,asian,Female,80-84,27391
1993,asian,Female,85+,20207
1993,asian,Male,0,80633
1993,asian,Male,1-4,289993
1993,asian,Male,10-14,333996
1993,asian,Male,15-19,327728
1993,asian,Male,20-24,401823
1993,asian,Male,25-29,396382
1993,asian,Male,30-34,405035
1993,asian,Male,35-39,368222
1993,asian,Male,40-44,310183
1993,asian,Male,45-49,230841
1993,asian,Male,5-9,327741
1993,asian,Male,50-54,176385
1993,asian,Male,55-59,133886
1993,asian,Male,60-64,108069
1993,asian,Male,65-69,89263
1993,asian,Male,70-74,66206
1993,asian,Male,75-79,42269
1993,asian,Male,80-84,23730
1993,asian,Male,85+,14457
1993,black,Female,0,314688
1993,black,Female,1-4,1249382
1993,black,Female,10-14,1393716
1993,black,Female,15-19,1318601
1993,black,Female,20-24,1383482
1993,black,Female,25-29,1439678
1993,black,Female,30-34,1498587
1993,black,Female,35-39,1376709
1993,black,Female,40-44,1153258
1993,black,Female,45-49,841369
1993,black,Female,5-9,1408735
1993,black,Female,50-54,695812
1993,black,Female,55-59,591695
1993,black,Female,60-64,558681
1993,black,Female,65-69,502924
1993,black,Female,70-74,406854
1993,black,Female,75-79,313608
1993,black,Female,80-84,200825
1993,black,Female,85+,177067
1993,black,Male,0,322549
1993,black,Male,1-4,1280001
1993,black,Male,10-14,1426559
1993,black,Male,15-19,1347170
1993,black,Male,20-24,1329769
1993,black,Male,25-29,1311397
1993,black,Male,30-34,1323642
1993,black,Male,35-39,1203441
1993,black,Male,40-44,989989
1993,black,Male,45-49,708985
1993,black,Male,5-9,1446654
1993,black,Male,50-54,574723
1993,black,Male,55-59,471523
1993,black,Male,60-64,427351
1993,black,Male,65-69,367434
1993,black,Male,70-74,268778
1993,black,Male,75-79,181109
1993,black,Male,80-84,101870
1993,black,Male,85+,71367
1993,latino,Female,0,284986
1993,latino,Female,1-4,977084
1993,latino,Female,10-14,994963
1993,latino,Female,15-19,955596
1993,latino,Female,20-24,1007278
1993,latino,Female,25-29,1075403
1993,latino,Female,30-34,1009559
1993,latino,Female,35-39,837401
1993,latino,Female,40-44,664920
1993,latino,Female,45-49,505304
1993,latino,Female,5-9,1042325
1993,latino,Female,50-54,391003
1993,latino,Female,55-59,326829
1993,latino,Female,60-64,291173
1993,latino,Female,65-69,240385
1993,latino,Female,70-74,174487
1993,latino,Female,75-79,125502
1993,latino,Female,80-84,83368
1993,latino,Female,85+,63865
1993,latino,Male,0,297217
1993,latino,Male,1-4,1017766
1993,latino,Male,10-14,1046296
1993,latino,Male,15-19,1053521
1993,latino,Male,20-24,1219273
1993,latino,Male,25-29,1263039
1993,latino,Male,30-34,1124680
1993,latino,Male,35-39,886010
1993,latino,Male,40-44,670888
1993,latino,Male,45-49,488552
1993,latino,Male,5-9,1085564
1993,latino,Male,50-54,365456
1993,latino,Male,55-59,294242
1993,latino,Male,60-64,252166
1993,latino,Male,65-69,195022
1993,latino,Male,70-74,130513
1993,latino,Male,75-79,80656
1993,latino,Male,80-84,48363
1993,latino,Male,85+,33465
1993,white,Female,0,1245660
1993,white,Female,1-4,5003078
1993,white,Female,10-14,6077906
1993,white,Female,15-19,5711268
1993,white,Female,20-24,6554388
1993,white,Female,25-29,7172055
1993,white,Female,30-34,8217617
1993,white,Female,35-39,7953991
